PROVIDER_NAME,PROVIDER_NUMBER,PROVIDER_STREET,PROVIDER_CITY,PROVIDER_COUNTY,PROVIDER_STATE,PROVIDER_ZIP_CODE,PROVIDER_ZIP_CODE_PLUS_4,PROGRAM_NAME,PROGRAM_NUMBER,PROGRAM_COUNTY,PROGRAM_STREET_ADDRESS,PROGRAM_CITY,PROGRAM_STATE,PROGRAM_ZIP_CODE,PROGRAM_ZIP_CODE_PLUS_4,PROGRAM_DIRECTOR,PROGRAM_DIRECTOR_EMAIL,PROGRAM_DIRECTOR_TELEPHONE,PROGRAM_DIRECTOR_PHONE_EXTENSION,PROGRAM_TYPE,SERVICE_TYPE,ADMISSION_PHONE,ADMISSION_PHONE_EXT,TELEHEALTH_SERVICES,ADOLESCENT_DESIGNATION,PROBLEM_GAMBLING,INTEGRATED_LICENSE_SERVICE,PARENTS_WITH_CHILDREN,LGBTQ_ENDORSEMNT,ADDITIONAL_LOCATION_STREET,ADDITIONAL_LOCATION_CITY,ADDITIONAL_LOCATION_ZIP,ADDITIONAL_LOCATION_COUNTYNAME,Latitude,Longitude
"Project Renewal, Inc.",50470,200 Varick St,New York,New York,NY,10014,4810.0,Project Renewal Chemical Dependence OP,50052,New York,8 E 3rd St,New York,NY,10003,8908.0,Ms. Sania Mirza MA,Carli.wargo@projectrenewal.org,2125338400,153.0,Outpatient Services,Outpatient Clinic,2125338400.0,153.0,Y,,,,,,,,,,40.728241,-74.004735
"RevCore Recovery Ctr / Manhattan, LLC",49130,Canal St,New York,New York,NY,10013,4512.0,RevCore Recovery Ctr / Manhattan OP,52928,New York,394 Broadway,New York,NY,10013,6023.0,Kirk Chisholm CASAC,kchisholm@revcorerecovery.com,2129669537,,Outpatient Services,Outpatient Clinic,2129669537.0,,Y,,,,,,15 Second Avenue,Brooklyn,11215.0,Kings,40.72331985,-74.00748515
Shiloh Psychological Consulting PLLC,50550,7th Ave,New York,New York,NY,10018,,Shiloh Psychological Consulting OP,53293,New York,566 7th Ave,New York,NY,10018,1802.0,Dr. Max T Lindeman PhD,MLindeman@hipaamail.net,2125677631,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.7544375,-73.9881175
"St. Mark's Place Institute for MH, Inc",15480,57 St. Mark's Place,New York,New York,NY,10003,,St. Mark's Place Institute for MH OP,51582,New York,57 Saint Marks Pl,New York,NY,10003,7902.0,Dr. Roman Pabis PhD,st.marks@unitas-nyc.org,2129823470,124.0,Outpatient Services,Outpatient Clinic,2129823470.0,124.0,Y,,,OMH Hosted,,,,,,,40.59571073,-74.09369535
"The Bridge, Inc.",18130,290 Lenox Avenue,New York,New York,NY,10027,,The Center for Wellness and Change OP,7371,New York,248-250 W 108th St,New York,NY,10025,2956.0,Ms. Jessica O'Neill,joneill@thebridgeny.org,2126633000,1421.0,Outpatient Services,Outpatient Clinic,2126633000.0,1301.0,Y,,,,,,,,,,40.807313,-73.945491
"The Educational Alliance, Inc.",70590,197 E Broadway,New York,New York,NY,10002,5507.0,Pride Site SRR,53069,New York,25-29 Avenue D,New York,NY,10009,,Luis Corchado,lcorchado@edalliance.org,6463954410,,Residential Services,820 Stabil Rehab Reintegration,6463954363.0,,Y,,,,,,,,,,40.714004,-73.988349
The New York and Presbyterian Hospital,81170,525 E 68th St,New York,New York,NY,10065,,New York & Presbyterian Hospital OMM,52205,New York,503 E 70th St,New York,NY,10021,,Maura Hays,emh2001@nyp.org,2127461252,,Opioid Treatment,Medical Maintenance,,,Y,,,,,,,,,,40.764729,-73.953921
Upper Manhattan Mental Health Center,70490,1727 Amsterdam Avenue,New York,New York,NY,10031,,Alcoholism & Sub. Abuse Treatment OP,50962,New York,1727 Amsterdam Ave,New York,NY,10031,4611.0,Ms. Kristy Rodriguez CASAC,krodriguez@bowencsc.org,9296025828,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.825431,-73.946941
"West Midtown Management Group, Inc.",29520,315 W 35th St,New York,New York,NY,10001,,West Midtown Management Group OTP 1,1483,New York,311 W 35th St,New York,NY,10001,,Ms. Rosemary Rodriguez,Rrodriguez@westmidtownmedical.com,2127365900,110.0,Opioid Treatment,Opioid Outpatient Treatment,2127365900.0,110.0,Y,,,,,,,,,,40.753342,-73.993556
Wholeview Direct,50840,369 Lexington Ave,New York,New York,NY,10017,6506.0,Wholeview Direct OP,53321,New York,369 Lexington Ave,New York,NY,10017,6506.0,Ms. Carly Moskowitz CASAC,Cmoskowitz@wholeview.co,2122048430,,Outpatient Services,Outpatient Clinic,2122048430.0,,Y,,,,,,,,,,40.750447,-73.976427
Mt. St. Mary's Hospital/Niagara Falls,81790,5300 Military Rd,Lewiston,Niagara,NY,14092,1997.0,Clearview Treatment Services IP,52859,Niagara,5300 Military Rd,Lewiston,NY,14092,,Mr. Kyle Donovan,KDonovan@CHSBuffalo.org,7162982079,,Inpatient Treatment Services,Inpatient Rehabilitation,7162982117.0,,,,,,,,,,,,43.154234,-79.032394
Niagara County Dept Mental Health Srvs,70150,5467 Upper Mountain Road,Lockport,Niagara,NY,14094,1895.0,Niagara Co Dept of MH Services OP,52984,Niagara,1001 11th St,Niagara Falls,NY,14301,1201.0,Carol Ross,carol.ross@niagaracounty.com,7164397401,,Outpatient Services,Outpatient Clinic,,,Y,,,OMH Hosted,,,5467 Upper Mountain Road,Lockport,14094.0,Niagara,43.177555,-78.738204
"Northpointe Council, Inc.",38020,800 Main St,Niagara Falls,Niagara,NY,14301,1156.0,First Step Center MSW IP,52971,Niagara,2470 Allen Ave,Niagara Falls,NY,14303,1908.0,Mr. Marlon Thornton,mthornton@northpointecouncil.org,7162853421,,Crisis Services,Med Sup Withdrawal - Inpatient,,,,,,,,,,,,,43.09679,-79.055416
"Recovery Center of Niagara, LLC.",52050,2600 Williams St,Newfane,Niagara,NY,14108,,"Recovery Center of Niagara, LLC. IP",53665,Niagara,2600 William St,Newfane,NY,14108,1026.0,Melinda Richards CASAC,mrichards@niagararecovery.com,7162653700,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,,,,,,43.288391,-78.708751
"Save the Michaels of the World, Inc.",49750,,Buffalo,Erie,NY,14207,,Newfane House of Hope RRi,53806,Niagara,2600 William St,Newfane,NY,14108,1026.0,Joshua Kellick,j.kellick@savethemichaels.org,7169848375,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,42.94771957,-78.89984131
Catholic Charities of Utica/Rome,20560,1408 Genesee St,Utica,Oneida,NY,13502,,Catholic Charities of Utica/Rome CR,50681,Oneida,1505 Whitesboro  St,Utica,NY,13502,3825.0,Mrs. Irene D Schrader,ischrader@ccharityom.org,3157388483,,Residential Services,Community Residential,,,,,,,,,,,,,43.095115,-75.245114
Johnson Park Center,48430,26 Johnson Park,Utica,Oneida,NY,13501,160.0,Johnson Park Center SL,52694,Oneida,19 Johnson Park,Utica,NY,13501,4432.0,Ms. Nicole Siriano CASAC,clinical-sud@johnsonparkcenter.org,3155252117,,Residential Services,Supportive Living,,,,,,,Y,,,,,,43.091283,-75.237356
McPike Addiction Treatment Center,90004,1213 Court St,Utica,Oneida,NY,13502,3803.0,McPike ATC IP,50727,Oneida,1213 Court St,Utica,NY,13502,3803.0,Mr. Stephen McLaughlin,Stephen.McLaughlin@oasas.ny.gov,3157384600,,Inpatient Treatment Services,Inpatient Rehabilitation,3157384465.0,,Y,,Y,,,,,,,,43.10586,-75.255166
"Rescue Mission of Utica, NY",36280,293 Genesee St,Utica,Oneida,NY,13501,,"Rescue Mission of Utica, NY RS",53101,Oneida,210 Lansing St,Utica,NY,13501,,Ms. Sarah M Decker CASAC,sarah.decker@uticamission.org,3157351645,2161.0,Residential Services,820 Residential Stabilization,,,,,,,,,,,,,43.09748,-75.238498
"Rome Memorial Hospital, Inc.",81810,1500 N James St,Rome,Oneida,NY,13440,2844.0,Community Recovery Center OP,51124,Oneida,264 W Dominick St,Rome,NY,13440,5812.0,Miss Danielle Russell,drussell1@romehealth.org,3153344701,7208.0,Outpatient Services,Outpatient Clinic,3153344701.0,,Y,,,,,,,,,,43.229139,-75.442315
"Upstate Cerebral Palsy, Inc.",40640,125 Business Park Dr,Utica,Oneida,NY,13502,6305.0,"Upstate Cerebral Palsy, Inc. OP",53585,Oneida,1002 Oswego St,Utica,NY,13502,5031.0,Jenni Barlow-Gagnon,jenni.barlow-gagnon@upstatecp.org,3157988868,,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,43.091695,-75.286512
"Crouse Health Hospital, Inc.",85010,736 Irving Ave,Syracuse,Onondaga,NY,13210,,Chemical Dependence Treatment Srvs OP,704,Onondaga,2775 Erie Blvd E,Syracuse,NY,13224,,Ms. Monika Taylor,monikataylor@crouse.org,3154708340,,Outpatient Services,Outpatient Clinic,3154708304.0,,Y,Y,,,,,6010 East Molloy Road,Syracuse,13211.0,Onondaga,43.041367,-76.138819
"Professional Counseling Services, Inc.",49850,5700 W Genesee St,Camillus,Onondaga,NY,13031,3200.0,"Professional Counseling Srvcs, Inc. OP",53177,Onondaga,5700 W Genesee St,Camillus,NY,13031,3200.0,Kristin Botwinick LCSW,kristinb@syracusesubstanceabuse.com,3154881641,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,43.040538,-76.294417
Syracuse Community Health Center,36260,819 S Salina St,Syracuse,Onondaga,NY,13202,,Syracuse Community Health Center OP,50934,Onondaga,819 S Salina St,Syracuse,NY,13202,3527.0,Dr. Sunny Aslam MD,saslam@schcny.com,3152345918,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,43.039968,-76.150018
"Syracuse Recovery Services, LLC",47230,319 E Water St,Syracuse,Onondaga,NY,13202,,"Syracuse Recovery Services, LLC OP",52520,Onondaga,319 E Water St,Syracuse,NY,13202,,Mrs. Megan Stiles CASAC,megan@syrrec.com,3155606989,,Outpatient Services,Outpatient Clinic,3152825351.0,,Y,,,,,,180 Genesee Street,Auburn,13021.0,Cayuga,43.050597,-76.148193
The Tully Hill Corporation,32611,5821 State Route 80,Tully,Onondaga,NY,13159,1116.0,The Tully Hill Corporation IP,51062,Onondaga,5821 State Route 80,Tully,NY,13159,1116.0,Mr. Kenneth Smith LCSW,ksmith@tullyhill.com,3156966114,141.0,Inpatient Treatment Services,Inpatient Rehabilitation,3156966114.0,141.0,,,,,,,,,,,42.801938,-76.117121
Clifton Springs Hospital and Clinic,85490,2 Coulter Rd,Clifton Springs,Ontario,NY,14432,1122.0,Clifton Springs Hospital & Clinic OP 1,52846,Ontario,2 Coulter Rd,Clifton Springs,NY,14432,1122.0,Mr. Matthew Guilfoil LCSW,Matthew.Guilfoil@rochesterregional.org,3154621070,,Outpatient Services,Outpatient Clinic,,,Y,,,OMH Hosted,,,35 North Street,Canandaigua,14424.0,Ontario,42.959983,-77.136568
Finger Lakes Area Counseling/Recovery,39040,28 E Main St,Clifton Springs,Ontario,NY,14432,1231.0,Addictions Crisis Center RS,53308,Ontario,28 E Main St,Clifton Springs,NY,14432,,Mr. Jason Briggs,jason.briggs@flacra.org,3154629466,,Residential Services,820 Residential Stabilization,,,Y,,,,,,,,,,42.961953,-77.134157
Access: Supports for Living Inc.,40310,15 Fortune Road West,Middletown,Orange,NY,10941,1625.0,Access: Recovery OP,53326,Orange,16-24 Union Street,Middletown,NY,10940,4906.0,Ms. Adrienne T Voltaire CASAC,avoltaire@asfl.org,8458060190,,Outpatient Services,Outpatient Clinic,,,Y,,,OMH Hosted,,,21-23 Grand Street,Newburgh,12550.0,Orange,41.473532,-74.372917
Bon Secours Community Hospital,81780,160 East Main St,Port Jervis,Orange,NY,12771,2245.0,New Directions IP,51824,Orange,160 E Main St,Port Jervis,NY,12771,,Mrs. Kimberly Everett RN,kimberly.everett@wmchealth.org,8458587232,,Inpatient Treatment Services,Inpatient Rehabilitation,8453766801.0,,,,,,,,,,,,41.38395075,-74.68631562
Catholic CharitiesOrangeSullivanUlster,45020,27 Matthews St,Goshen,Orange,NY,10924,1962.0,Goshen Clinic OP,52115,Orange,27 Matthews St,Goshen,NY,10924,1962.0,Mr. David Schools CASAC,david.schools@cccsos.org,8452945888,1125.0,Outpatient Services,Outpatient Clinic,8452945888.0,1100.0,Y,,,,,,4 Harriman Drive,Goshen,10924.0,Orange,41.396295,-74.336708
Cornerstone Family Healthcare,45040,3 Commercial Place,Newburgh,Orange,NY,12550,,Center for Rec Meth Maint Trt Prog OTP,52138,Orange,3 Commercial Pl,Newburgh,NY,12550,5306.0,Ms. Maria Messerschmitt CASAC,mmesserschmitt@cfr.care,8452202146,7400.0,Opioid Treatment,Opioid Outpatient Treatment,,,,,,,,,,,,,41.493763,-74.027306
Garnet Health Medical Center,81420,75 Crystal Run Road,Middletown,Orange,NY,10941,7009.0,Horton Family Prgm for Alchlism&CD OP,50932,Orange,75 Crystal Run Rd,Middletown,NY,10941,7000.0,Mrs. Tomanda Nelson LCSW,tnelson@garnethealth.org,8453337818,7792.0,Outpatient Services,Outpatient Clinic,8453337818.0,7792.0,Y,,,,,,,,,,41.448615,-74.362329
Regional Economic Comm Action Program,34070,40 Smith St,Middletown,Orange,NY,10940,,RECAP-New Life Halfway House CR,50196,Orange,127 Hickory Hill Rd,Newburgh,NY,12550,1653.0,Mr. Paul Pitts CASAC,ppitts@recap.org,8454216293,6293.0,Residential Services,Community Residential,8454216253.0,6253.0,,,,,,,,,,,41.45295,-74.413628
Renwick Recovery Inc.,15510,131 Mill Street,Newburgh,Orange,NY,12550,,"Renwick Recovery, Inc. SL",51584,Orange,131 Mill St,Newburgh,NY,12550,5834.0,Ms. Eileen Fata,EileenTFata@gmail.com,8455690775,,Residential Services,Supportive Living,8455690775.0,,,,,,,,,,,,41.494859,-74.019981
Resource Rec Ctr of Orange County LLC,50790,68 Crystal Run Rd.,Middletown,Orange,NY,10941,,Resource Rec Ctr of Orange Co LLC IP,53323,Orange,68 Crystal Run Rd,Middletown,NY,10941,7100.0,Mr. Frank Pellegrino,fpellegrino@rrcooc.com,8452093500,7210.0,Inpatient Treatment Services,Inpatient Rehabilitation,8452093500.0,7310.0,,,,,,,,,,,41.446009,-74.359802
Restorative Management Corp.,1617,7 Railroad Ave,Middletown,Orange,NY,10940,4907.0,Restorative Management Corp. OP,52245,Orange,123 Pike St,Port Jervis,NY,12771,1837.0,Mr. Jeffrey M Spitz LCSW,jspitz@rmcnet.cc,8458567576,,Outpatient Services,Outpatient Clinic,,,Y,,Y,,,,,,,,41.448503,-74.418143
Richard C. Ward Addiction Trtmt Ctr,90006,117 Seward Ave - Ste 12/16,Middletown,Orange,NY,10940,,Richard C Ward Addiction Tx Cntr IP,53495,Orange,117 Seward Ave,Middletown,NY,10940,6198.0,Christina Murphy,Christina.Murphy@oasas.ny.gov,8453412500,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,Y,,,,,,,,41.449152,-74.438031
Farnham Family Services,15660,283 W 2nd St,Oswego,Oswego,NY,13126,3812.0,Farnham Family Services OP 1,53560,Oswego,111 Hamilton St,Mexico,NY,13114,3178.0,Ms. Mary Jo Proietta-Halpern,mproiett@farnhaminc.org,3153424489,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,61 Delano Street,Pulaski,13142.0,Oswego,43.44962,-76.507999
Oswego County Opportunities Inc.,40660,239 Oneida St,Fulton,Oswego,NY,13069,,Arbor House RRi,53707,Oswego,53 Hall Rd,Hannibal,NY,13074,2161.0,Ms. Elizabeth M Thompson,ethompson@oco.org,3155920738,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,43.325547,-76.415176
Otsego County Community Services Board,70120,242 Main St,Oneonta,Otsego,NY,13820,2527.0,Otsego Co Community Svcs CD Clinic OP,50325,Otsego,242 Main St,Oneonta,NY,13820,2527.0,Mrs. Theresa Guardiano LCSW,Guardianot@otsegocounty.com,6074311030,5517.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,140 County Highway 33W,Cooperstown,13326.0,Otsego,42.454553,-75.060791
CoveCare Center,27700,1808 Route 6,Carmel,Putnam,NY,10512,,Chemical Dependency Trt Services OP,50422,Putnam,1808 Route 6,Carmel,NY,10512,2356.0,Ms. Liza Szpylka,lszpylka@covecarecenter.org,8452252700,105.0,Outpatient Services,Outpatient Clinic,8452252700.0,105.0,Y,,,,,,,,,,41.418603,-73.672992
"St. Christopher's Inn, Inc.",25360,21 Franciscan Way,Garrison,Putnam,NY,10524,3432.0,St. Christopher's Inn MSW-OP,8053,Putnam,21 Franciscan Way,Garrison,NY,10524,3432.0,Mr. Kevin Douglas,kdouglas@atonementfriars.org,8453351103,,Crisis Services,Med Sup Withdrawal-Outpatient,8453351065.0,1065.0,,,,,,,,,,,41.348026,-73.922809
"Advanced Human Services, Inc.",42660,112-15 72nd Road,Forest Hills,Queens,NY,11375,,Advanced Human Services OP,51859,Queens,112-15 72nd Rd,Forest Hills,NY,11375,,Dr. Anna Rikhter,advancedhumanservices@gmail.com,7182613437,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.721279,-73.837937
"Bleuler Psychotherapy Center, Inc.",15300,104-70 Queens Boulevard,Forest Hills,Queens,NY,11375,3694.0,Bleuler CD Recovery Services OP,52521,Queens,104-70 Queens Blvd,Forest Hills,NY,11375,,Mr. Ken Pfeiffer CASAC,ken.pfeiffer@bleulerpc.org,7182756010,,Outpatient Services,Outpatient Clinic,7182756010.0,,Y,,,OMH Hosted,,,,,,,40.722965,-73.848379
"Camelot of Staten Island, Inc.",12030,4442 Arthur Kill Rd,Staten Island,Richmond,NY,10309,1321.0,"Camelot of Staten Island, Inc. OP 1",5594,Queens,175-15 Rockaway Blvd,Jamaica,NY,11434,5503.0,Mr. Vincenzo Vaglica,VVaglica@CamelotCounseling.com,7186323275,,Outpatient Services,Outpatient Clinic,7186323275.0,,Y,,,,,,730 Kelly Street,Bronx,10455.0,Bronx,40.53354,-74.236432
"Child Center of NY, Inc.",18000,118-35 Queens Blvd,Forest Hills,Queens,NY,11375,7200.0,"Child Center of NY, Inc. OP",51686,Queens,140-15B Sanford Ave,Flushing,NY,11355,2557.0,Cathy Wu LCSW,cathywu@childcenterny.org,7183588288,,Outpatient Services,Outpatient Clinic,7183588288.0,,Y,,,OMH Hosted,,,,,,,40.715295,-73.830584
Creedmoor Addiction Treatment Center,90009,80-45 Winchester Boulevard,Queens Village,Queens,NY,11427,2194.0,Creedmoor ATC SRh,53203,Queens,80-45 Winchester Blvd,Queens Village,NY,11427,2194.0,Ms. Tabatha Cotto,Tabatha.Cotto@oasas.ny.gov,7182643743,,Residential Services,820 Stabil and Rehab,,,Y,,,,,,,,,,40.738071,-73.732754
"Elmcor Youth and Adult Activities, Inc",114,107-20 Northern Blvd,Corona,Queens,NY,11368,1236.0,Elmcor Youth & Adult Activities IR,1283,Queens,107-06 Northern Blvd.,Corona,NY,11368,,Ms. Denielle Francis LMSW,d.francis@elmcor.org,7186510096,204.0,Residential Services,Intensive Residential,7186510096.0,204.0,Y,,,,,,,,,,40.757574,-73.861247
Elmhurst Hospital Center (HHC),87040,79-01 Broadway,Elmhurst,Queens,NY,11373,,Elmhurst Hospital Center (HHC) OTP,320,Queens,79-01 Broadway,Elmhurst,NY,11373,1329.0,Mr. Tyrone Rodman,rodmant1@nychhc.org,7183343346,,Opioid Treatment,Opioid Outpatient Treatment,7183343197.0,,Y,,,,,,,,,,40.745065,-73.885773
Flushing Hospital and Medical Center,82070,4500 Parsons Blvd,Flushing,Queens,NY,11355,2205.0,Flushing Hospital and Medical Ctr. MMD,51644,Queens,4500 Parsons Blvd,Flushing,NY,11355,2205.0,Dr. Ira Frankel PhD,ifrankel.flushing@jhmc.org,7186704416,,Crisis Services,Medical Managed Detoxification,7186705790.0,,,,,,,,,,,,40.755649,-73.816871
"Fortune Society, Inc.",1523,29-76 Northern Boulevard,Long Island City,Queens,NY,11101,2822.0,Fortune Society OP,6287,Queens,29-76 Northern Blvd,Long Island City,NY,11101,2822.0,Ms. Elizabeth Christy,echristy@fortunesociety.org,3475103442,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,625 West 140th Street,New York,10031.0,New York,40.750399,-73.934695
"HANAC, Inc",16670,31-14 30th Avenue,Astoria,Queens,NY,11102,,"HANAC, Inc OP",6118,Queens,31-14 30th Ave,Astoria,NY,11102,1530.0,Ms. Annell Williams MA,awilliams@hanac.org,7182041200,318.0,Outpatient Services,Outpatient Clinic,7182041200.0,318.0,Y,,,,,,23-16 30th Avenue,Astoria,11102.0,Queens,40.766459,-73.921081
"Long Island Consultation Center, Inc.",16190,91-31 Queens Blvd,Elmhurst,Queens,NY,11373,5511.0,Long Island Consultation Center OP,50330,Queens,91-31 Queens Blvd,Elmhurst,NY,11373,,Miss Christina Clemente LCSW,cclemente@liccnyc.org,7188963400,118.0,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.733675,-73.86935
Mental Health Providers/Western Queens,16140,40-23 62nd St,Woodside,Queens,NY,11377,4962.0,MH Providers of Western Queens OP,51264,Queens,62-07 Woodside Ave,Woodside,NY,11377,3576.0,Mr. David Goldberg,dgoldberg@wqrs.org,7188985085,,Outpatient Services,Outpatient Clinic,7188985085.0,,Y,,,,,,,,,,40.7437501,-73.9023505
New Day Treatment Center LLC,52770,1050 Beach 21st St,Far Rockaway,Queens,NY,11691,3305.0,New Day Treatment Center LLC OP,53750,Queens,1050 Beach 21st St,Far Rockaway,NY,11691,3305.0,Gloria Lewis,glewis@newdaytreatment.org,3478353250,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.603602,-73.753579
New York City Department of Police,28880,59-17 Junction Blvd,Queens,New York,NY,11368,,NYC Department of Police OP,52068,Queens,1 Lefrak City Plz,Corona,NY,11368,4112.0,Dr. Tremaine Sayles,tremaine.sayles@nypd.org,7187605726,,Outpatient Services,Outpatient Clinic,,,,,,,,,,,,,40.734765,-73.865256
"Phoenix Houses of Long Island, Inc.",50570,34-25 Vernon Blvd,Long Island City,Queens,NY,11106,,Parkside Outpatient Program,53318,Queens,34-11 Vernon Blvd,Long Island City,NY,11106,5121.0,Adam Maslowski,Amaslowski@phoenixhouseny.org,6465052003,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.764716,-73.940324
Queens Hospital Center,87060,82-68 164th St,Jamaica,Queens,NY,11432,1121.0,Comprehensive CD Program OP,51908,Queens,82-50 164th St,Jamaica,NY,11432,1121.0,Ms. Jacqueline D Rodriguez LCSW,rodrigjc@nychhc.org,7188834170,,Outpatient Services,Outpatient Clinic,7188834170.0,,Y,,,,,,,,,,40.717116,-73.80433
Queens Village Committee for MH/J-CAP,31340,116-30 Sutphin Blvd,Jamaica,Queens,NY,11413,,Queens Village Committee  MH/J-CAP IR,1256,Queens,116-30 Sutphin Blvd,Jamaica,NY,11434,1527.0,Miss Ana Garcia,agarcia@promesa.org,7183222500,637.0,Residential Services,Intensive Residential,,,,,,,,,,,,,40.681939,-73.792838
Reality House Inc.,19660,8-13 Astoria Blvd,Astoria,Queens,NY,11102,4028.0,"Reality House, Inc. OP",52219,Queens,8-13 Astoria Blvd,Astoria,NY,11102,4028.0,Mr. Roland Smith CASAC,rsmith@rhiny.org,2122816004,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.772673,-73.931916
Rego Park Counseling LLC,51310,63-36 99th St,Rego Park,Queens,NY,11374,1979.0,Rego Park Counseling LLC OP,53489,Queens,63-36 99th St,Rego Park,NY,11374,1979.0,Mrs. Claire Clarke-Browne,cbrowne@regoparkcounseling.com,3472657965,,Outpatient Services,Outpatient Clinic,7184592558.0,,Y,,,,,,,,,,40.731836,-73.857015
The PAC Program of Queens,44510,40-06 Warren Street,Elmhurst,Queens,NY,11373,,The PAC Program OP,51997,Queens,40-6 Warren St,Elmhurst,NY,11373,2084.0,Mr. Daniel Cruz CASAC,dcruz@thepacprogram.com,7187296868,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.748773,-73.870503
Amethyst House Inc.,31330,220 Heberton AVe,Staten Island,Richmond,NY,10302,,"Amethyst House, Inc. RRi",53672,Richmond,220 Heberton Ave,Staten Island,NY,10302,1415.0,Tamara Levin,tlevin@camelotcounseling.com,7183565100,,Residential Services,820 Residential Reintegration,,,,,,,,,,,,,40.6352601,-74.1327852
Christopher's Reason,46430,4521 Arthur Kill Rd,Staten Island,New York,NY,10309,,Christopher's Reason OP,53241,Richmond,4521 Arthur Kill Rd,Staten Island,NY,10309,1315.0,ann Marie Perrotto,nabramova@resourcetraining.org,7186051989,,Outpatient Services,Outpatient Clinic,,,Y,,,,,,,,,,40.533127,-74.238981
"Project Hospitality, Inc.",19900,100 Park Ave,Staten Island,Richmond,NY,10302,1440.0,PREP SRh,53232,Richmond,75 Vanderbilt Ave,Staten Island,NY,10304,,Mr. Gary Siegel LCSW,gsiegel@projecthospitality.org,7183546585,,Residential Services,820 Stabil and Rehab,,,,,,,,,,,,,40.638077,-74.13211
Richmond University Medical Center,45720,355 Bard Avenue,Staten Island,Richmond,NY,10310,,Richmond University Medical Center OP,53235,Richmond,444 Saint Mark's Pl,Staten Island,NY,10301,2434.0,Miss Ileana Acosta MA,iacosta@rumcsi.org,7188186974,,Outpatient Services,Outpatient Clinic,7188186974.0,,,,,,,,,,,,40.635694,-74.105805
"Silver Lake Support Services, Inc.",41860,201 Forest Ave,Staten Island,Richmond,NY,10301,,"Silver Lake Support Services, Inc. OP",51829,Richmond,201 Forest Ave,Staten Island,NY,10301,2763.0,Dana Davino,ddavino@silverlakebehavioralhealth.com,7188153155,,Outpatient Services,Outpatient Clinic,7188153155.0,,Y,,,,,,797 Brighton Avenue,Staten Island,10301.0,Richmond,40.632039,-74.096012
South Beach Addiction Treatment Center,90012,777 Seaview Ave,Staten Island,Richmond,NY,10305,3499.0,South Beach ATC IP,50748,Richmond,777 Seaview Ave,Staten Island,NY,10305,3499.0,Mrs. Nadia Huntley-Smith LCSW,nadia.huntley-smith@oasas.ny.gov,3478840251,,Inpatient Treatment Services,Inpatient Rehabilitation,,,Y,,,,,,,,,,40.581943,-74.080463
YMCA of Greater New York,20860,5 W 63rd St,New York,New York,NY,10023,,Staten Island YMCA Cnsling Service OP,7209,Richmond,3911 Richmond Ave,Staten Island,NY,10312,5110.0,Mrs. JoAnne McKernan,jmckernan@ymcanyc.org,7189483232,,Outpatient Services,Outpatient Clinic,7189483232.0,,Y,,,,,,,,,,40.771139,-73.980475
"Bikur Cholim, Inc.",20470,25 Robert Pitt Dr,Monsey,Rockland,NY,10952,3366.0,"Bikur Cholim, Inc. OCCBHC",53775,Rockland,25 Robert Pitt Dr,Monsey,NY,10952,3366.0,Aron Reiner,reinera@bccbh.org,8454257877,123.0,Outpatient Services,Crtfd Cmty Behavioral Hlth Clnc,,,,,,OMH Hosted,,,,,,,41.110438,-74.066587
Blaisdell Addiction Treatment Center,90007,140 Old Orangeburg Rd,Orangeburg,Rockland,NY,10962,1129.0,Blaisdell Addiction Treatment Cntr IP,50735,Rockland,140 Old Orangeburg Rd,Orangeburg,NY,10962,1129.0,Ms. Emily J Feiner LCSW,emily.feiner@oasas.ny.gov,8456807638,,Inpatient Treatment Services,Inpatient Rehabilitation,8453598500.0,,Y,,Y,,,,,,,,41.049269,-73.968211
"Good Samaritan Hospital of Suffern, NY",85370,255 Lafayette Ave,Suffern,Rockland,NY,10901,,Good Samaritan Hospital IP,6972,Rockland,255 Lafayette Ave,Suffern,NY,10901,,Ms. Tera Colavito LCSW,tera.colavito@wmchealth.org,8453685302,,Inpatient Treatment Services,Inpatient Rehabilitation,8453766801.0,,,,,,,,,,,,41.111593,-74.135034
